Model_Year,Model_Number,Trim,Lease_Term,Tier,Lease_Cash,Residual_Value,Residual_Percentage
2025,49452FT5,4dr Sdn N-Line,24,1 (740-999),$0,0.00214,0.74
2025,49452FT5,4dr Sdn N-Line,24,2 (720-739),$0,0.00214,0.74
2025,49452FT5,4dr Sdn N-Line,24,3 (700-719),$0,0.00227,0.74
2025,49452FT5,4dr Sdn N-Line,24,4 (680-699),$0,0.00240,0.74
2025,49452FT5,4dr Sdn N-Line,24,5 (660-679),$0,0.00253,0.74
2025,49452FT5,4dr Sdn N-Line,24,6 (640-659),$0,0.00267,0.74
2025,49452FT5,4dr Sdn N-Line,24,7 (620-639),$0,0.00288,0.74
2025,494E2F4S,4dr Sdn SE,24,1 (740-999),$1000,0.00219,0.70
2025,494E2F4S,4dr Sdn SE,24,2 (720-739),$1000,0.00219,0.70
2025,494E2F4S,4dr Sdn SE,24,3 (700-719),$1000,0.00232,0.70
2025,494E2F4S,4dr Sdn SE,24,4 (680-699),$1000,0.00245,0.70
2025,494E2F4S,4dr Sdn SE,24,5 (660-679),$1000,0.00258,0.70
2025,494E2F4S,4dr Sdn SE,24,6 (640-659),$1000,0.00272,0.70
2025,494E2F4S,4dr Sdn SE,24,7 (620-639),$1000,0.00293,0.70
2025,494G2F4S,4dr Sdn SEL Sport,24,1 (740-999),$1500,0.00228,0.68
2025,494G2F4S,4dr Sdn SEL Sport,24,2 (720-739),$1500,0.00228,0.68
2025,494G2F4S,4dr Sdn SEL Sport,24,3 (700-719),$1500,0.00267,0.68
2025,494G2F4S,4dr Sdn SEL Sport,24,4 (680-699),$1500,0.00280,0.68
2025,494G2F4S,4dr Sdn SEL Sport,24,5 (660-679),$1500,0.00293,0.68
2025,494G2F4S,4dr Sdn SEL Sport,24,6 (640-659),$1500,0.00307,0.68
2025,494G2F4S,4dr Sdn SEL Sport,24,7 (620-639),$1500,0.00328,0.68
2025,494H2F4S,4dr Sdn SEL Convenience,24,1 (740-999),$1250,0.00213,0.69
2025,494H2F4S,4dr Sdn SEL Convenience,24,2 (720-739),$1250,0.00213,0.69
2025,494H2F4S,4dr Sdn SEL Convenience,24,3 (700-719),$1250,0.00226,0.69
2025,494H2F4S,4dr Sdn SEL Convenience,24,4 (680-699),$1250,0.00239,0.69
2025,494H2F4S,4dr Sdn SEL Convenience,24,5 (660-679),$1250,0.00252,0.69
2025,494H2F4S,4dr Sdn SEL Convenience,24,6 (640-659),$1250,0.00266,0.69
2025,494H2F4S,4dr Sdn SEL Convenience,24,7 (620-639),$1250,0.00287,0.69
2025,494J2F4S,4dr Sdn Limited,24,1 (740-999),$750,0.00225,0.72
2025,494J2F4S,4dr Sdn Limited,24,2 (720-739),$750,0.00225,0.72
2025,494J2F4S,4dr Sdn Limited,24,3 (700-719),$750,0.00238,0.72
2025,494J2F4S,4dr Sdn Limited,24,4 (680-699),$750,0.00251,0.72
2025,494J2F4S,4dr Sdn Limited,24,5 (660-679),$750,0.00264,0.72
2025,494J2F4S,4dr Sdn Limited,24,6 (640-659),$750,0.00278,0.72
2025,494J2F4S,4dr Sdn Limited,24,7 (620-639),$750,0.00299,0.72
2025,49452FT5,4dr Sdn N-Line,36,1 (740-999),$0,0.00245,0.65
2025,49452FT5,4dr Sdn N-Line,36,2 (720-739),$0,0.00245,0.65
2025,49452FT5,4dr Sdn N-Line,36,3 (700-719),$0,0.00263,0.65
