County,Tax Rate
Adams,7.25
Allen,6.85
Ashland,7.0
Ashtabula,6.75
Athens,7.25
Auglaize,7.25
Belmont,7.25
Brown,7.25
Butler,6.5
Carroll,6.75
Champaign,7.25
Clark,7.25
Clermont,6.75
Clinton,7.25
Columbiana,7.25
Coshocton,7.75
Crawford,7.25
Cuyahoga,8.0
Darke,7.25
Defiance,6.75
Delaware,7.0
Erie,6.75
Fairfield,6.75
Fayette,7.25
Franklin,8.0
Fulton,7.25
Gallia,7.25
Geauga,6.75
Greene,6.75
Guernsey,7.25
Hamilton,7.8
Hancock,6.75
Hardin,7.25
Harrison,7.25
Henry,7.25
Highland,7.25
Hocking,7.25
Holmes,7.0
Huron,7.25
Jackson,7.25
Jefferson,7.25
Knox,7.25
Lake,7.0
Lawrence,7.25
Licking,7.25
Logan,7.25
Lorain,6.5
Lucas,7.75
Madison,7.0
Mahoning,7.5
Marion,7.25
Medina,6.75
Meigs,7.25
Mercer,7.25
Miami,7.0
Monroe,7.25
Montgomery,7.5
Morgan,7.25
Morrow,7.25
Muskingum,7.25
Noble,7.25
Ottawa,7.0
Paulding,7.25
Perry,7.25
Pickaway,7.25
Pike,7.25
Portage,7.0
Preble,7.25
Putnam,7.0
Richland,7.0
Ross,7.25
Sandusky,7.25
Scioto,7.25
Seneca,7.25
Shelby,7.25
Stark,6.5
Summit,6.75
Trumbull,6.75
Tuscarawas,6.75
Union,7.0
Van Wert,7.25
Vinton,7.25
Warren,6.75
Washington,7.25
Wayne,6.5
Williams,7.25
Wood,6.75
Wyandot,7.25
